"i","j","D_ij","civ_i","civ_j","civ_ij","comciv"
"AE","AL",-6.799441,"islam","islam","islam",1
"AE","AM",-2.050316,"islam","ortho",NA,0
"AE","AO",-6.755312,"islam","afric",NA,0
"AE","AR",-5.421352181,"islam","latam",NA,0
"AE","AS",-1.580247,"islam",NA,NA,0
"AE","AT",-7.346098015,"islam","wstrn",NA,0
"AE","AU",-2.7760297635,"islam","wstrn",NA,0
"AE","AW",-11.24013,"islam",NA,NA,0
"AE","AZ",-6.485363,"islam","islam","islam",1
"AE","BA",-5.971547,"islam","ortho",NA,0
"AE","BB",-4.873455,"islam","wstrn",NA,0
"AE","BD",-2.390080673,"islam","islam","islam",1
"AE","BE",-1.467693356,"islam","wstrn",NA,0
"AE","BF",-7.564909,"islam","afric",NA,0
"AE","BG",-5.353789746,"islam","ortho",NA,0
"AE","BI",-5.826183,"islam","afric",NA,0
"AE","BM",-11.24013,"islam","wstrn",NA,0
"AE","BN",-5.591346637,"islam","islam","islam",1
"AE","BO",-11.24013,"islam","latam",NA,0
"AE","BR",-2.6795224495,"islam","latam",NA,0
"AE","BS",-3.3674135435,"islam","latam",NA,0
"AE","BT",-3.420171,"islam",NA,NA,0
"AE","BW",-2.430576,"islam","afric",NA,0
"AE","BY",1.434195716,"islam","ortho",NA,0
"AE","BZ",-5.278255,"islam",NA,NA,0
"AE","CA",0.057101804,"islam","wstrn",NA,0
"AE","CH",0.479296455,"islam","wstrn",NA,0
"AE","CI",-4.327941,"islam","afric",NA,0
"AE","CL",-6.865437146,"islam","latam",NA,0
"AE","CM",-11.24013,"islam","afric",NA,0
"AE","CN",-6.0968787655,"islam","sinic",NA,0
"AE","CO",-4.635305663,"islam","latam",NA,0
"AE","CR",-6.610139582,"islam","latam",NA,0
"AE","CY",-6.6381498105,"islam","ortho",NA,0
"AE","CZ",0.154177168,"islam","wstrn",NA,0
"AE","DE",-2.683236886,"islam","wstrn",NA,0
"AE","DK",0.126624777,"islam","wstrn",NA,0
"AE","DO",-3.5699597595,"islam","latam",NA,0
"AE","DZ",-11.24013,"islam","islam","islam",1
"AE","EC",-7.3016431385,"islam","latam",NA,0
"AE","EE",-4.818503567,"islam","wstrn",NA,0
"AE","EG",-3.8468688905,"islam","islam","islam",1
"AE","ES",-0.334054369,"islam","wstrn",NA,0
"AE","ET",-4.026897,"islam",NA,NA,0
"AE","FI",-4.613322159,"islam","wstrn",NA,0
"AE","FJ",-1.62934,"islam",NA,NA,0
"AE","FR",-1.2961887785,"islam","wstrn",NA,0
"AE","GA",-11.24013,"islam","afric",NA,0
"AE","GB",-4.1993125175,"islam","wstrn",NA,0
"AE","GE",-0.6235764,"islam","ortho",NA,0
"AE","GH",-2.0382,"islam","afric",NA,0
"AE","GM",-4.428904,"islam","islam","islam",1
"AE","GR",-2.541219655,"islam","ortho",NA,0
"AE","GT",-6.814909062,"islam","latam",NA,0
"AE","GU",-6.370488,"islam",NA,NA,0
"AE","GY",-5.372218,"islam",NA,NA,0
"AE","HK",-1.153048915,"islam","sinic",NA,0
"AE","HN",-4.769711,"islam","latam",NA,0
"AE","HR",-2.0766317695,"islam","wstrn",NA,0
"AE","HT",-11.24013,"islam",NA,NA,0
"AE","HU",-7.358452813,"islam","wstrn",NA,0
"AE","ID",-1.6928033645,"islam","islam","islam",1
"AE","IE",-4.4453882425,"islam","wstrn",NA,0
"AE","IL",-6.9964621245,"islam","wstrn",NA,0
"AE","IN",-7.4634534275,"islam","hindu",NA,0
"AE","IS",-2.574774242,"islam","wstrn",NA,0
"AE","IT",-2.8997375375,"islam","wstrn",NA,0
"AE","JM",-0.230253658,"islam","wstrn",NA,0
"AE","JO",0.6484238655,"islam","islam","islam",1
"AE","JP",-3.4921778715,"islam",NA,NA,0
"AE","KE",-4.414660896,"islam","afric",NA,0
"AE","KH",-11.24013,"islam","buddh",NA,0
"AE","KM",-11.24013,"islam","afric",NA,0
"AE","KR",-0.578279682,"islam","sinic",NA,0
"AE","KW",-9.231107025,"islam","islam","islam",1
"AE","KY",-11.24013,"islam","afric",NA,0
"AE","KZ",1.185548,"islam","ortho",NA,0
"AE","LA",-11.24013,"islam","buddh",NA,0
"AE","LB",-2.768311093,"islam","islam","islam",1
"AE","LC",-5.951044,"islam","latam",NA,0
"AE","LK",0.9468731845,"islam","buddh",NA,0
"AE","LR",-11.24013,"islam","afric",NA,0
"AE","LT",-2.15161538,"islam","wstrn",NA,0
"AE","LU",0.3995869985,"islam","wstrn",NA,0
"AE","LV",-5.3063343,"islam","wstrn",NA,0
"AE","MA",-2.002511907,"islam","islam","islam",1
"AE","MD",-5.78427,"islam","ortho",NA,0
"AE","ME",-2.527075,"islam",NA,NA,0
"AE","MG",-1.225944,"islam","afric",NA,0
"AE","MK",-2.683603,"islam","ortho",NA,0
"AE","ML",-3.053155,"islam","islam","islam",1
"AE","MN",2.339188,"islam","buddh",NA,0
"AE","MO",0.29459,"islam",NA,NA,0
"AE","MP",-4.280858,"islam",NA,NA,0
"AE","MR",2.482298,"islam","afric",NA,0
"AE","MT",-6.0464196145,"islam","wstrn",NA,0
"AE","MU",-7.070837,"islam","afric",NA,0
"AE","MX",-5.9306924715,"islam","latam",NA,0
"AE","MY",-8.451070201,"islam","islam","islam",1
"AE","MZ",-4.426478,"islam","afric",NA,0
"AE","NC",-11.24013,"islam",NA,NA,0
"AE","NG",-5.2834627155,"islam","afric",NA,0
"AE","NI",-6.650702,"islam","latam",NA,0
"AE","NL",-5.1682991555,"islam","wstrn",NA,0
"AE","NO",-0.654816607,"islam","wstrn",NA,0
"AE","NP",-2.722416418,"islam","hindu",NA,0
"AE","NZ",-4.7609170115,"islam","wstrn",NA,0
"AE","OM",-6.084549,"islam","islam","islam",1
"AE","PA",-5.2576685125,"islam","latam",NA,0
"AE","PE",-5.1095685335,"islam","latam",NA,0
"AE","PF",-1.054406,"islam",NA,NA,0
"AE","PG",-5.004374,"islam","wstrn",NA,0
